username,ip_score,time_score,device_score,frequency,geo_score,label
user321,0.82,0.5,0.54,10,0.56,0
user220,0.55,0.67,0.99,1,0.22,0
user188,0.9,0.25,0.7,7,0.25,0
user193,0.65,0.33,0.69,8,0.3,0
user482,0.81,0.75,0.95,5,0.6,1
user314,0.99,0.0,0.36,8,0.69,0
user425,0.76,0.25,0.53,7,0.44,0
user185,0.91,0.92,0.78,1,0.25,0
user257,0.54,0.92,0.69,1,0.56,0
user335,0.71,0.0,0.86,5,0.51,0
user470,0.59,0.17,0.79,2,0.67,0
user133,0.7,0.25,0.35,8,0.2,0
user479,0.56,0.58,0.81,4,0.38,0
user101,0.79,0.17,0.97,4,0.42,0
user237,0.85,0.08,0.64,1,0.26,0
user407,0.96,1.0,0.87,4,0.21,0
user23,0.68,0.58,0.84,4,0.46,0
user185,0.98,0.75,0.58,10,0.0,0
user142,0.75,0.0,0.88,5,0.26,0
user32,0.81,0.92,0.65,8,0.34,0
user296,0.59,0.5,0.95,1,0.68,0
user114,0.88,0.83,0.91,8,0.32,0
user70,0.69,0.25,0.14,1,0.16,0
user121,0.58,0.92,0.99,4,0.45,0
user48,0.93,0.83,0.79,10,0.38,0
user415,0.79,0.42,0.52,4,0.3,0
user72,0.54,0.08,0.27,5,0.0,0
user295,0.33,0.0,0.93,1,0.18,0
user219,0.35,0.5,0.86,5,0.35,0
user117,0.72,0.0,0.98,10,0.42,0
user257,0.99,0.5,0.3,7,0.33,0
user14,0.76,0.17,0.64,2,0.48,0
user242,0.79,0.83,0.77,10,0.3,0
user470,0.35,0.83,0.67,5,0.31,0
user28,0.36,0.75,0.64,3,0.15,0
user350,0.38,0.33,0.9,5,0.12,0
user169,0.75,0.08,0.69,6,0.11,0
user121,0.45,0.08,0.98,4,0.2,0
user169,0.77,0.25,0.18,2,0.61,0
user81,0.82,0.33,0.75,9,0.25,0
user65,0.44,0.42,0.77,1,0.07,0
user390,0.48,0.58,0.54,7,0.04,0
user208,0.5,0.17,0.62,4,0.49,0
user141,0.66,0.58,0.96,1,0.14,0
user208,0.77,0.58,0.43,2,0.11,0
user325,0.52,0.0,0.88,6,0.53,0
user353,0.85,0.83,0.96,3,0.03,0
user71,0.53,0.58,0.66,3,0.29,0
user289,0.98,0.75,0.61,2,0.67,1
user455,0.59,0.5,0.12,1,0.28,0
user334,0.71,0.25,0.74,6,0.3,0
user119,0.73,0.67,0.76,3,0.33,0
user326,0.58,0.33,0.85,5,0.3,0
user423,0.32,0.17,0.88,2,0.18,0
user314,0.41,0.83,0.92,5,0.61,0
user314,0.72,0.42,0.83,4,0.25,0
user452,0.82,0.83,0.55,9,0.45,0
user40,0.95,0.75,0.46,9,0.01,0
user139,0.51,0.92,0.48,4,0.66,0
user341,0.34,1.0,0.69,3,0.49,0
user355,0.71,1.0,0.53,10,0.69,1
user405,0.68,0.25,0.89,7,0.61,0
user254,0.51,0.25,0.84,9,0.29,0
user386,0.44,1.0,0.8,3,0.11,0
user409,0.79,0.5,0.34,5,0.52,0
user438,0.52,0.08,0.6,4,0.03,0
user244,0.82,0.0,0.53,2,0.28,0
user148,0.66,0.58,0.74,8,0.1,0
user54,0.77,0.92,0.45,9,0.45,0
user493,0.3,0.67,0.51,5,0.4,0
user391,0.79,0.75,0.92,2,0.27,0
user390,0.38,0.75,0.95,10,0.21,0
user427,0.92,0.5,0.91,9,0.9,0
user289,0.67,0.42,0.77,5,0.6,0
user38,0.57,0.17,0.6,9,0.2,0
user408,0.87,0.67,0.55,4,0.6,1
user214,0.87,0.67,0.81,6,0.02,0
user473,0.51,0.25,0.82,2,0.6,0
user392,0.84,0.0,0.87,1,0.61,0
user114,0.77,0.75,0.5,1,0.58,0
user172,0.61,1.0,0.97,8,0.51,1
user88,0.7,0.17,0.72,5,0.39,0
user176,0.32,0.58,0.52,7,0.68,0
user450,0.81,0.58,0.93,5,0.18,0
user179,0.62,0.75,0.84,9,0.12,0
user116,0.57,0.17,0.22,7,0.48,0
user160,0.48,0.58,0.99,3,0.37,0
user499,0.79,0.92,0.97,9,0.57,1
user198,0.98,0.17,0.68,8,0.17,0
user39,0.74,0.42,0.72,8,0.19,0
user193,0.94,0.42,0.86,3,0.32,0
user481,0.4,0.17,0.92,10,0.01,0
user167,0.9,0.42,0.92,8,0.44,0
user355,0.96,0.08,0.84,3,0.5,0
user139,0.45,0.83,0.98,4,0.47,0
user128,0.7,0.5,0.66,10,0.71,0
user5,0.71,0.42,0.12,5,0.42,0
user214,0.82,0.5,0.62,6,0.4,0
user38,0.91,0.75,0.63,3,0.33,0
user483,0.71,0.33,0.95,2,0.28,0
user33,0.47,0.0,0.96,1,0.59,0
user15,0.48,0.5,0.77,7,0.48,0
user13,0.82,0.58,0.57,3,0.59,0
user371,0.78,0.58,0.88,8,0.15,0
user18,0.5,0.75,0.71,6,0.4,0
user88,0.4,0.75,0.94,10,0.62,0
user49,0.44,0.83,0.74,9,0.57,0
user303,0.93,0.58,0.15,2,0.36,0
user127,0.62,0.42,0.68,1,0.29,0
user32,0.46,0.5,0.89,8,0.07,0
user392,0.62,0.67,0.69,10,0.32,0
user4,0.77,0.25,0.52,3,0.1,0
user256,0.98,0.25,0.96,3,0.61,0
user344,0.83,0.67,0.97,3,0.51,1
user213,0.87,0.33,0.0,9,0.41,0
user175,0.48,0.5,0.78,2,0.35,0
user427,0.54,0.33,0.11,5,0.21,0
user343,0.45,0.25,0.67,9,0.49,0
user420,0.52,0.33,0.5,3,0.47,0
user285,0.8,0.67,0.99,7,0.49,0
user316,0.97,0.75,0.75,2,0.3,0
user101,0.78,0.33,0.9,6,0.6,0
user289,0.58,1.0,0.72,10,0.59,0
user267,0.34,0.5,0.26,5,0.2,0
user54,0.97,0.75,0.68,6,0.38,0
user228,0.65,0.17,0.75,8,0.62,0
user17,0.64,1.0,0.81,6,0.69,1
user213,0.54,0.33,0.62,1,0.68,0
user366,0.5,0.5,0.57,3,0.23,0
user151,0.5,0.17,0.95,5,0.1,0
user153,0.43,0.0,0.78,3,0.25,0
user465,0.6,0.67,0.65,3,0.04,0
user429,0.88,0.17,0.61,4,0.45,0
user194,0.88,0.25,0.75,4,0.03,0
user33,0.49,0.83,0.62,6,0.33,0
user35,0.62,0.75,0.99,8,0.79,1
user265,0.6,0.92,0.67,3,0.82,0
user252,0.36,0.25,0.79,1,0.13,0
user298,0.58,0.5,0.42,1,0.35,0
user225,0.59,0.42,0.98,8,0.49,0
user291,0.77,0.75,0.56,10,0.1,0
user328,0.57,0.08,0.64,7,0.64,0
user409,0.64,0.83,0.82,1,0.13,0
user225,0.5,0.42,0.86,2,0.31,0
user396,0.79,0.42,0.68,4,0.04,0
user277,0.46,0.08,0.88,7,0.31,0
user27,0.64,0.42,0.99,3,0.07,0
user46,0.34,0.5,0.65,9,0.57,0
user316,0.95,0.17,0.59,7,0.66,0
user143,0.51,0.83,0.63,6,0.48,0
user300,0.76,0.83,0.56,10,0.45,0
user39,0.98,0.83,0.53,3,0.12,0
user250,0.56,0.33,0.55,5,0.23,0
user421,0.63,0.17,0.66,9,0.65,0
user462,0.53,0.5,0.64,3,0.02,0
user74,0.81,0.17,1.0,3,0.32,0
user356,0.53,0.33,0.6,3,0.1,0
user16,0.89,0.5,0.96,10,0.02,0
user115,0.86,0.08,0.85,4,0.69,0
user456,0.85,0.83,0.88,5,0.44,0
user43,0.77,0.92,0.59,5,0.33,0
user443,0.43,0.08,1.0,9,0.74,0
user362,0.45,0.58,0.86,3,0.54,0
